Source,Date,Amount,Description,Category
Expense,2021-01-01,249.00,Baby sleep site,Health/Medical
Expense,2021-01-01,178.63,Federal Income Tax,Tax
Expense,2021-01-01,168.87,Social Security Tax,Tax
Expense,2021-01-01,39.49,Medicare Tax,Tax
Expense,2021-01-01,110.00,MN State Income Tax,Tax
Expense,2021-01-01,153.85,401k,Savings
Expense,2021-01-01,11.85,Dental Insurance,Health/Medical
Expense,2021-01-01,220.00,HSA,Health/Medical
Expense,2021-01-01,122.18,Health Insurance,Health/Medical
Expense,2021-01-01,-1831.50,Tuition Reimbursement,Debt
Expense,2021-01-01,2028.86,Mortgage,Home
Expense,2021-01-01,2831.50,Great Lakes Loans,Debt
Expense,2021-01-01,138.17,State Farm Insurance,Transportation
Expense,2021-01-01,130.77,Xcel Energy,Utilities
Expense,2021-01-01,65.00,Centurylink Internet,Utilities
Expense,2021-01-01,64.17,Grove Collaborative,Personal
Expense,2021-01-01,103.95,Amazon,Recreation
Expense,2021-01-02,25.31,Arbys,Food
Expense,2021-01-02,-680.00,Jenna Rent,Home
Expense,2021-01-03,14.96,AWS,Recreation
Expense,2021-01-03,81.71,Target,Personal
Expense,2021-01-03,245.12,Target,Personal
Expense,2021-01-04,50.00,St. Thomas,Charity
Expense,2021-01-04,101.35,Centerpoint Energy,Utilities
Expense,2021-01-04,156.08,Target,Food
Expense,2021-01-04,7.52,Raising Canes,Food
Expense,2021-01-05,-94.09,Jenna Utilities,Utilities
Expense,2021-01-05,16.50,BWS Subscription,Utilities
Expense,2021-01-06,86.01,B&H Photo,Recreation
Expense,2021-01-07,25.79,Pizza Hut,Food
Expense,2021-01-08,16.96,Social Security Tax,Tax
Expense,2021-01-08,3.97,Medicare Tax,Tax
Expense,2021-01-08,34.71,Target,Personal
Expense,2021-01-09,8.16,Target,Food
Expense,2021-01-09,210.65,Target,Food
Expense,2021-01-11,50.00,St. Thomas,Charity
Expense,2021-01-11,7.80,Chipotle,Food
Expense,2021-01-11,357.51,Target,Personal
Expense,2021-01-11,13.57,Target,Food
Expense,2021-01-11,19.32,Target,Personal
Expense,2021-01-12,5.81,Amazon,Recreation
Expense,2021-01-12,13.78,Amazon,Recreation
Expense,2021-01-12,8.25,White Castle,Food
Expense,2021-01-13,29.57,Doordash,Food
Expense,2021-01-15,19.41,Federal Income Tax,Tax
Expense,2021-01-15,166.88,Social Security Tax,Tax
